Species,SVL Male,SVL Female,Average SVL Adult,Min Egg Clutch,Max Egg Clutch,Min Temperature,Max Temperature,Average Temperature,Min Rainfall,Max Rainfall,Average Rainfall,Min Altitude,Max Altitude,Egg Style
Allophryne relicta,20.9,-,20.9,10,-,24.9,24.9,24.9,771.36,771.36,771.36,50,150,1
Allophryne resplendens,-,28.4,28.4,-,-,19.42,26.77,24.11666666666666,1967.52,2623.92,2231.51,90,120,1
Allophryne ruthveni,22.6,26.8,-,300,300,25.94,26.77,26.4,1672.88,2623.92,1996.93,0,300,0
Alsodes cantillanensis,45.9,44.2,45.05,60,60,9.13,23.78,16.455,195.47,1469.73,832.6,729,850,0
Alsodes hugoi,70.7,70.7,70.7,-,-,11.01,11.01,11.01,1098.54,1098.54,1098.54,900,2115,0
Alsodes norae,46,30.6,46,-,-,9.04,9.04,9.04,2716.77,2716.77,2716.77,400,720,1
Alsodes valdiviensis,49.65,51.55,51.1,-,-,9.04,9.04,9.04,2716.77,2716.77,2716.77,533,1100,0
Alsodes vanzolinii,44.3,48.55,-,-,-,11.01,11.01,11.01,1098.54,1098.54,1098.54,50,700,1
Eupsophus migueli,37.75,33.5,37.75,17,30,9.13,9.13,9.13,1469.73,1469.73,1469.73,30,650,1
Limnomedusa macroglossa,46.3,46.3,46.3,-,-,17.75,24.44,20.188,1270,1909.75,1610.746,0,1200,0
Alytes almogavarii,-,-,50,-,4,11.35,14.04,12.695,673.46,967.74,820.6,0,2300,1
Alytes cisternasii,36,42,39,180,180,14.04,15.46,14.75,673.46,813.79,743.625,100,1300,1
Alytes dickhilleni,35.1,-,35.1,-,-,14.04,14.04,14.04,673.46,673.46,673.46,700,2510,1
Alytes maurus,56.5,-,56.5,35,70,18.46,23.37,20.915,70.07,298.29,184.18,200,2050,1
Alytes muletensis,34.7,38,36.35,7,12,14.04,14.04,14.04,673.46,673.46,673.46,10,850,1
Alytes obstetricans,-,47,47,10,150,5.32,15.46,10.53777777777778,673.46,1636.1,955.8666666666666,0,2400,1
Discoglossus galganoi,-,-,-,20,1500,14.04,15.46,14.75,673.46,813.79,743.625,0,2050,0
Discoglossus montalentii,-,-,-,-,-,11.35,11.35,11.35,967.74,967.74,967.74,80,1900,0
Discoglossus pictus,-,-,-,20,1000,11.35,19.38,15.3325,435.15,967.74,671.9475,0,1500,0
Discoglossus sardus,-,-,-,-,-,11.35,15.9,13.625,600.39,967.74,784.065,0,1770,0
Discoglossus scovazzi,70,66,68,1000,1000,14.04,23.37,18.62333333333333,70.07,673.46,347.2733333333334,0,2724,0
Latonia nigriventer,93.95,98.7,94.85,-,-,20.46,20.46,20.46,211.89,211.89,211.89,65,65,0
Allobates brunneus,16.55,17.8,17.15,17,17,24.5,26.26,25.38,1703.67,3402.78,2553.225,140,380,1
Allobates chalcopis,17.4,17.25,17.3,-,-,26.11,26.11,26.11,1018.15,1018.15,1018.15,800,1400,1
Allobates femoralis,30.5,34,31.5,8,17,19.42,26.77,24.971,1672.88,3402.78,2248.494,0,1000,1
Allobates flaviventris,18.2,20.2,19.6,-,-,26.16,26.77,26.465,1967.52,2623.92,2295.72,150,150,0
Allobates grillisimilis,13.9,14.4,14.15,6,13,26.77,26.77,26.77,2623.92,2623.92,2623.92,-,-,1
Allobates ignotus,17.35,18.9,17.625,-,-,24.5,24.5,24.5,3402.78,3402.78,3402.78,400,900,0
Allobates juami,17.6,18,17.8,-,-,26.77,26.77,26.77,2623.92,2623.92,2623.92,87,87,1
Allobates magnussoni,17.84,19.405,18.62,-,-,25.56,25.56,25.56,1764.83,1764.83,1764.83,132,-,1
