Species,Mating System,Social Dominance Hierarchy,Territoriality(Males),Territoriality(Females),Group size(During reproductive period),Group size(Outside reproductive period),Group property,Age at maturity,Number of offspring per reproductive bout,Number of reproductive bouts/year,Average life expectancy,Activity pattern,Migratory behavior
Astatotilapia burtoni,,6,2,,4,6,3,,,4.759427278,2.281938411,,0
Homo sapiens,0,,,,6,6,6,,,,2.281938411,,
Mus musculus,6,6,3,,,,,1.676739797,2.917087222,,,,
Macaca mulatta,,,0,,,,3,4.843109444,,,5.181502996,,
Pipra filicauda,3,6,,0,,,,,1.682880247,3.113983977,4.15994424,,0
Rattus norvegicus,,0,6,6,6,,,,,,2.281938411,2,0
Zonotrichia albicollis,0,,,,,6,,,2.481798921,,1.0,,6
Taeniopygia guttata,0,6,3,,6,6,,2.529328332,2.585598831,,2.674557983,,
Pan troglodytes,,6,6,0,,,,,2.985058167,,5.564824743,,6
Anolis carolinensis,,6,,3,0,0,0,3.686218888,,,,,
Fukomys damarensis,0,6,2,2,,6,0,,2.082339584,,4.15994424,6,6
Microtus pennsylvanicus,6,,3,3,,2,3,5.607772508,,,5.564824743,0,
Gasterosteus aculeatus,3,6,3,6,,,0,,,3.113983977,,,
Dendrobates auratus,,,,0,0,,3,,1.0,,2.461812312,0,
Engystomops pustulosus,,,0,,,,0,5.18147824,,,2.878005828,6,0
Myodes glareolus,6,0,,,,2,3,5.607772508,,,1.0,4,
Cavia porcellus,,0,6,,4,2,,2.271536413,,,3.42643926,0,6
Hylobates lar,6,,,,2,,,5.607772508,,,,0,
Gorilla gorilla,3,6,,0,,2,,,,,5.492624152,0,0
Microtus ochrogaster,,0,6,6,2,2,3,1.916816278,2.234206975,,,,
Coturnix japonica,6,,3,3,2,,,,,,2.069192742,,
Columba livia,0,,,,1,4,,2.921555824,1.682880247,1.000065464,3.0907515,,0
Passer domesticus,0,,,3,2,4,0,,,,5.181502996,,0
Macaca fascicularis,,0,6,,,4,,4.843109444,,,5.181502996,0,0
