Scientific name,Class,Order,Family,Common Name,Mating System,Social Dominance Hierarchy,Territoriality(Males),Territoriality(Females),Group size(During reproductive period),Group size(Outside reproductive period),Group property,Age at maturity,Number of offspring per reproductive bout,Number of reproductive bouts/year,Average life expectancy,Activity pattern,Migratory behavior,Reproductive activity,Habitat complexity ,Mean_Temp,Var_Temp,Pred_Temp,Mean_Precipit,Var_Precipit,Pred_Precipit,envPC1,envPC2,envPC3,envPC4
Fukomys damarensis,Mammalia,Rodentia,Bathyergidae,Damaraland mole-rat,3,6,2,2,2,4,6,1.578447482,2.082339584,4.024399126,4.15994424,6,0,6,4,4.665926469,0.398565814,3.01040874,1.160079259,6,0,3.701583888,0,4.386211408,2.354183145
Microtus pennsylvanicus,Mammalia,Rodentia,Cricetidae,Eastern meadow vole,6,6,0,3,0,2,3,2.045458124,2.481798921,5.99993172,2.281938411,4,0,3,3,0.135368755,4.465257527,0,0.419285306,0.617306636,3.971285177,0.192940445,4.547999001,3.450822489,2.38125578
Gasterosteus aculeatus,Actinopterygii,Scorpaeniformes,Gasterosteidae,Threespine stickleback,3,6,3,0,2,4,0,3.686218888,6.000000065,3.113983977,1.473125325,0,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobates auratus,Amphibia,Anura,Dendrobatidae,Green and black poison dart frog,3,0,3,3,0,4,3,1.764665268,2.985058167,3.113983977,2.461812312,0,0,3,3,5.65835848,0,5.883946379,5.696342831,3.974714507,4.87463571,6,3.950803967,1.39601677,2.449769919
Engystomops pustulosus,Amphibia,Anura,Leptodactylidae,Tungara frog,3,0,0,0,4,0,0,1.764665268,4.634239571,3.113983977,2.878005828,2,0,3,3,5.576730879,0.03649534,5.192196644,2.221943489,3.996908611,4.275541438,4.960549369,3.123628771,2.550451979,6
Myodes glareolus,Mammalia,Rodentia,Cricetidae,Bank vole,3,6,6,6,0,0,0,1.764665268,2.765219831,4.934814275,1,4,0,3,3,1.288709553,3.15002371,0.708977701,0.460073493,0,4.097375414,1.007801651,4.736489336,4.776977506,3.590041166
Cavia porcellus,Mammalia,Rodentia,Caviidae,Guinea pig,3,6,6,6,2,2,3,2.271536413,2.082339584,4.759427278,3.42643926,4,0,6,3,4.824359591,0.284784196,3.691993871,2.252927077,3.069836191,3.284365299,4.152929284,3.022308268,4.19588519,4.238028717
Hylobates lar,Mammalia,Primates,Hylobatidae,Lar gibbons,0,0,6,0,2,2,3,5.607772508,1,1.532624186,4.968757327,0,0,6,4,5.288514168,0.229224009,4.670799324,4.827730287,3.516831611,3.01243684,5.15408985,3.060933438,3.491420114,1.042908816
Gorilla gorilla,Mammalia,Primates,Hominidae,Western lowland gorilla,3,6,0,0,2,2,3,5.607772508,1,1.293153678,5.492624152,0,0,6,4,5.116174082,0.001828836,5.775559963,5.284870991,0.249661044,6,5.464946095,6,3.789001835,3.16210518
Microtus ochrogaster,Mammalia,Rodentia,Cricetidae,Prairie vole,0,0,6,6,1,2,3,1.916816278,2.234206975,5.669842427,1,4,0,6,3,1.897581318,4.102031782,0.314240945,0.204959713,1.449899466,3.15132912,0.813578513,3.626501774,4.013019833,2.87412171
Coturnix japonica,Aves,Galliformes,Phasianidae,Japanese Quail,3,6,3,0,2,6,0,2.075924301,2.917087222,NA,2.069192742,0,6,3,3,0.124404425,6,1.207397249,0.408454121,3.654767589,3.391652298,0.322202437,3.131160867,0,1.386419771
Columba livia,Aves,Columbiformes,Columbidae,Rock pigeon,0,6,3,3,1,4,6,2.921555824,1.682880247,5.467372998,3.0907515,0,0,6,4,3.181114769,2.265999427,2.01352716,0,4.281042988,1.023062472,2.178122666,1.22213381,4.110055221,2.848176852
Passer domesticus,Aves,Passeriformes,Passeridae,House sparrow,0,6,3,3,1,2,3,1.000002204,2.481798921,4.934814275,2.617626172,0,0,3,3,2.778601106,2.519959415,1.969790339,0.590743518,3.328736892,2.087041623,2.108079418,2.277036684,3.789447229,2.81073655
Macaca fascicularis,Mammalia,Primates,,Crab-eating macaque,6,6,6,6,4,4,2,4.843109444,1,3.113983977,5.181502996,0,0,3,1,5.658879413,0.05497397,5.587413524,6,1.7826197,3.523809994,5.679644252,4.174033594,4.411687291,0
