Scientific name,Class,Order,Family,Common Name,Mating System,Social Dominance Hierarchy,Territoriality(Males),Territoriality(Females),Group size(During reproductive period),Group size(Outside reproductive period),Group property,Age at maturity,Number of offspring per reproductive bout,Number of reproductive bouts/year,Average life expectancy,Activity pattern,Migratory behavior,Reproductive activity,Habitat complexity ,Mean_Temp,Var_Temp,Pred_Temp,Mean_Precipit,Var_Precipit,Pred_Precipit,envPC1,envPC2,envPC3,envPC4
Astatotilapia burtoni,Actinopterygii,Cichliformes,Cichlidae,Burton's mouthbrooder,6,6,3,0,4,4,3,3.10777361,4.634239571,4.759427278,2.281938411,0,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,Mammalia,Primates,Hominidae,Humans,0,6,3,3,6,6,6,6,1.682880247,3.113983977,5.999999711,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,Mammalia,Rodentia,Muridae,House mouse,6,6,3,3,6,6,0,1.676739797,2.917087222,5.845229425,1.808813086,2,0,6,3,2.909098657,2.349665009,2.324050884,1.063516407,3.404860291,2.095757784,2.397429283,2.309433505,3.674865041,2.392619507
Macaca mulatta,Mammalia,Primates,Cercopithecidae,Rhesus monkey,6,6,0,0,6,6,0,4.843109444,1.682880247,3.113983977,5.181502996,0,0,3,1,3.816211754,1.459213388,2.936184172,2.297797957,5.213368656,0.797994169,3.403358374,1.000534142,3.463608024,0.69242786
Pipra filicauda,Aves,Passeriformes,Pipridae,Wire-tailed manakin,3,6,3,0,2,2,6,4.450881953,1.682880247,3.113983977,4.15994424,0,0,3,3,5.340475572,0.006446388,5.244634392,5.551400981,1.412492942,5.559618689,5.522140994,5.318910978,3.255379024,2.738798957
Rattus norvegicus,Mammalia,Rodentia,Muridae,Brown rat,3,6,6,6,6,6,0,5.18147824,3.268479077,5.22790249,2.281938411,2,0,6,3,1.966777796,3.013912842,1.856488123,1.552520999,1.06730739,3.53462364,1.833809852,4.146868715,4.046465237,2.13991665
Zonotrichia albicollis,Aves,Passeriformes,Passerellidae,White-throated Sparrow,0,6,3,3,2,6,6,3.686218888,2.481798921,3.113983977,3.686818915,0,6,3,4,0,4.944405631,0.011880131,0.341820181,0.264461504,4.305042992,0,4.883229854,3.20909109,2.430500626
Taeniopygia guttata,Aves,Passeriformes,Estrildidae,Sunda zebra finch,0,6,3,3,6,6,0,2.529328332,2.585598831,4.556957848,2.674557983,0,0,3,5,6,0.011918153,6,4.557542112,3.582612665,2.237448848,5.642469271,2.563888245,4.049697708,0.826796331
Pan troglodytes,Mammalia,Primates,Hominidae,Chimpanzee,6,6,3,0,2,0,6,5.607772508,1,1.000065464,5.564824743,0,0,6,3,5.079639747,0.021474453,5.351980807,4.909000666,1.987022076,4.717942209,5.32773573,4.583335603,3.387739341,2.541633846
Anolis carolinensis,Reptilia,Squamata,Dactyloidae,Green anole,6,6,3,3,0,0,0,3.686218888,2.082339584,3.113983977,1.808813086,0,0,3,3,4.031278106,1.595214923,2.125051315,1.580256917,0.776284837,3.053527081,2.788026568,3.811845441,6,3.249188563
